Opponent,Opp_Seed,Opp_RPI
Kansas,1,5
Villanova,1,2
Virginia,1,1
"Xavier, Ohio",1,3
Cincinnati,2,6
Duke,2,7
North Carolina,2,4
Purdue,2,9
Michigan,3,12
Michigan State,3,14
Tennessee,3,8
Texas Tech,3,23
Arizona,4,13
Auburn,4,15
Gonzaga,4,21
Wichita State,4,16
Clemson,5,11
Kentucky,5,10
Ohio State,5,20
West Virginia,5,27
Florida,6,46
Houston,6,18
"Miami, Florida",6,28
Texas Christian,6,26
Arkansas,7,30
Nevada,7,17
Texas A&M,7,29
Rhode Island,7,19
Creighton,8,44
Missouri,8,43
Seton Hall,8,31
Virginia Tech,8,61
Alabama,9,42
Florida State,9,54
Kansas State,9,53
North Carolina State,9,64
Butler,10,41
Oklahoma,10,49
Providence,10,32
Texas,10,51
"Loyola, Illinois",11,22
San Diego State,11,62
St. Bonaventure,11,24
Syracuse,11,45
Davidson,12,47
Murray State,12,48
New Mexico State,12,35
South Dakota State,12,37
Buffalo,13,25
"Charleston, South Carolina",13,57
Marshall,13,87
North Carolina-Greensboro,13,65
Bucknell,14,80
Montana,14,76
Stephen F. Austin,14,104
Wright State,14,99
California State-Fullerton,15,131
Georgia State,15,120
Iona,15,107
Lipscomb,15,101
Pennsylvania,16,115
Radford,16,128
Texas Southern,16,222
UMBC,16,111
