"Year","Team","Current Conference","Actual Conference","Team State","Team City","Coach","Ranking","Seed","RPI","Score","Opponent Score","Score Bucket","Opponent Score Bucket","Opponent","Overtimes","Round","Region","Season Wins","Season Losses","Automatic/At-Large","Opponent Current Conference","Opponent Actual Conference","Opponent State","Opponent City","Opponent Ranking","Opponent Seed","Opponent RPI","Opponent Region","Location City","Location State","Day of Week","Date","Decade","Wins","Losses"
"1962","Wake Forest","Atlantic Coast","Atlantic Coast","North Carolina","Winston-Salem","McKinney, Bones","13","0","0","96","85"," 90 - 99"," 80 - 89","St. Joseph's, Pennsylvania","1","Sweet Sixteen","East","18","8","Automatic","Atlantic Ten","East Coast","Pennsylvania","Philadelphia","0","0","0","East","College Park","Maryland","Friday","March 16","1960-1969","1","0"
"1962","Wake Forest","Atlantic Coast","Atlantic Coast","North Carolina","Winston-Salem","McKinney, Bones","13","0","0","82","80"," 80 - 89"," 80 - 89","UCLA","0","National Third Place","East","18","8","Automatic","Pacific Twelve","Pacific Twelve","California","Los Angeles","19","0","0","West","Louisville","Kentucky","Saturday","March 24","1960-1969","1","0"
"1962","Wake Forest","Atlantic Coast","Atlantic Coast","North Carolina","Winston-Salem","McKinney, Bones","13","0","0","79","69"," 70 - 79"," 60 - 69","Villanova","0","Elite Eight","East","18","8","Automatic","Big East","Independent","Pennsylvania","Philadelphia","20","0","0","East","College Park","Maryland","Saturday","March 17","1960-1969","1","0"
"1962","Wake Forest","Atlantic Coast","Atlantic Coast","North Carolina","Winston-Salem","McKinney, Bones","13","0","0","92","82"," 90 - 99"," 80 - 89","Yale","1","Round of 32","East","18","8","Automatic","Ivy League","Ivy League","Connecticut","New Haven","0","0","0","East","Philadelphia","Pennsylvania","Monday","March 12","1960-1969","1","0"
"1962","Western Kentucky","Conference USA","Ohio Valley","Kentucky","Bowling Green","Diddle, Ed","0","0","0","90","81"," 90 - 99"," 80 - 89","Detroit","0","Round of 32","Mideast","16","8","Automatic","Horizon League","Independent","Michigan","Detroit","0","0","0","Mideast","Lexington","Kentucky","Monday","March 12","1960-1969","1","0"
"1963","Arizona State","Pacific Twelve","Western Athletic","Arizona","Tempe","Wulk, Ned","4","0","0","93","79"," 90 - 99"," 70 - 79","UCLA","0","Sweet Sixteen","West","24","2","Automatic","Pacific Twelve","Pacific Twelve","California","Los Angeles","0","0","0","West","Provo","Utah","Friday","March 15","1960-1969","1","0"
"1963","Arizona State","Pacific Twelve","Western Athletic","Arizona","Tempe","Wulk, Ned","4","0","0","79","75"," 70 - 79"," 70 - 79","Utah State","1","Round of 32","West","24","2","Automatic","Mountain West","Independent","Utah","Logan","0","0","0","West","Eugene","Oregon","Monday","March 11","1960-1969","1","0"
"1963","Bowling Green","Mid American","Mid American","Ohio","Bowling Green","Anderson, Harold","0","0","0","77","72"," 70 - 79"," 70 - 79","Notre Dame","0","Round of 32","Mideast","18","6","Automatic","Atlantic Coast","Independent","Indiana","South Bend","0","0","0","Mideast","Evanston","Illinois","Monday","March 11","1960-1969","1","0"
"1963","Cincinnati","American Athletic","Missouri Valley","Ohio","Cincinnati","Jucker, Ed","1","0","0","67","60"," 60 - 69"," 60 - 69","Colorado","0","Elite Eight","Midwest","23","1","Automatic","Pacific Twelve","Big Eight","Colorado","Boulder","10","0","0","Midwest","Lawrence","Kansas","Saturday","March 16","1960-1969","1","0"
"1963","Cincinnati","American Athletic","Missouri Valley","Ohio","Cincinnati","Jucker, Ed","1","0","0","80","46"," 80 - 89","  0 - 49","Oregon State","0","National Semifinals","Midwest","23","1","Automatic","Pacific Twelve","Independent","Oregon","Corvallis","0","0","0","West","Louisville","Kentucky","Friday","March 22","1960-1969","1","0"
"1963","Cincinnati","American Athletic","Missouri Valley","Ohio","Cincinnati","Jucker, Ed","1","0","0","73","68"," 70 - 79"," 60 - 69","Texas","0","Sweet Sixteen","Midwest","23","1","Automatic","Big Twelve","Southwest","Texas","Austin","0","0","0","Midwest","Lawrence","Kansas","Friday","March 15","1960-1969","1","0"
"1963","Colorado","Pacific Twelve","Big Eight","Colorado","Boulder","Walseth, Sox","10","0","0","78","72"," 70 - 79"," 70 - 79","Oklahoma City","0","Sweet Sixteen","Midwest","18","6","Automatic","NAIA","Independent","Oklahoma","Oklahoma City","0","0","0","Midwest","Lawrence","Kansas","Friday","March 15","1960-1969","1","0"
"1963","Duke","Atlantic Coast","Atlantic Coast","North Carolina","Durham","Bubas, Vic","2","0","0","81","76"," 80 - 89"," 70 - 79","New York","0","Sweet Sixteen","East","24","2","Automatic","Division III","New York Metropolitan","New York","New York City","9","0","0","East","College Park","Maryland","Friday","March 15","1960-1969","1","0"
"1963","Duke","Atlantic Coast","Atlantic Coast","North Carolina","Durham","Bubas, Vic","2","0","0","85","63"," 80 - 89"," 60 - 69","Oregon State","0","National Third Place","East","24","2","Automatic","Pacific Twelve","Independent","Oregon","Corvallis","0","0","0","West","Louisville","Kentucky","Saturday","March 23","1960-1969","1","0"
"1963","Duke","Atlantic Coast","Atlantic Coast","North Carolina","Durham","Bubas, Vic","2","0","0","73","59"," 70 - 79"," 50 - 59","St. Joseph's, Pennsylvania","0","Elite Eight","East","24","2","Automatic","Atlantic Ten","East Coast","Pennsylvania","Philadelphia","0","0","0","East","College Park","Maryland","Saturday","March 16","1960-1969","1","0"
"1963","Illinois","Big Ten","Big Ten","Illinois","Champaign","Combes, Harry","8","0","0","70","67"," 70 - 79"," 60 - 69","Bowling Green","0","Sweet Sixteen","Mideast","19","5","Automatic","Mid American","Mid American","Ohio","Bowling Green","0","0","0","Mideast","East Lansing","Michigan","Friday","March 15","1960-1969","1","0"
"1963","Loyola, Illinois","Missouri Valley","Independent","Illinois","Chicago","Ireland, George","3","0","0","60","58"," 60 - 69"," 50 - 59","Cincinnati","1","National Championship","Mideast","24","2","At Large","American Athletic","Missouri Valley","Ohio","Cincinnati","1","0","0","Midwest","Louisville","Kentucky","Saturday","March 23","1960-1969","1","0"
"1963","Loyola, Illinois","Missouri Valley","Independent","Illinois","Chicago","Ireland, George","3","0","0","94","75"," 90 - 99"," 70 - 79","Duke","0","National Semifinals","Mideast","24","2","At Large","Atlantic Coast","Atlantic Coast","North Carolina","Durham","2","0","0","East","Louisville","Kentucky","Friday","March 22","1960-1969","1","0"
"1963","Loyola, Illinois","Missouri Valley","Independent","Illinois","Chicago","Ireland, George","3","0","0","79","64"," 70 - 79"," 60 - 69","Illinois","0","Elite Eight","Mideast","24","2","At Large","Big Ten","Big Ten","Illinois","Champaign","8","0","0","Mideast","East Lansing","Michigan","Saturday","March 16","1960-1969","1","0"
"1963","Loyola, Illinois","Missouri Valley","Independent","Illinois","Chicago","Ireland, George","3","0","0","61","51"," 60 - 69"," 50 - 59","Mississippi State","0","Sweet Sixteen","Mideast","24","2","At Large","Southeastern","Southeastern","Mississippi","Starkville","6","0","0","Mideast","East Lansing","Michigan","Friday","March 15","1960-1969","1","0"
"1963","Loyola, Illinois","Missouri Valley","Independent","Illinois","Chicago","Ireland, George","3","0","0","111","42","100 or more","  0 - 49","Tennessee Tech","0","Round of 32","Mideast","24","2","At Large","Ohio Valley","Ohio Valley","Tennessee","Cookeville","0","0","0","Mideast","Evanston","Illinois","Monday","March 11","1960-1969","1","0"
"1963","Mississippi State","Southeastern","Southeastern","Mississippi","Starkville","McCarthy, Babe","6","0","0","65","60"," 60 - 69"," 60 - 69","Bowling Green","0","Regional Third Place","Mideast","21","5","Automatic","Mid American","Mid American","Ohio","Bowling Green","0","0","0","Mideast","East Lansing","Michigan","Saturday","March 16","1960-1969","1","0"
"1963","New York","Division III","New York Metropolitan","New York","New York City","Rossini, Lou","9","0","0","93","83"," 90 - 99"," 80 - 89","Pittsburgh","0","Round of 32","East","17","3","At Large","Atlantic Coast","Independent","Pennsylvania","Pittsburgh","0","0","0","East","Philadelphia","Pennsylvania","Monday","March 11","1960-1969","1","0"
"1963","Oklahoma City","NAIA","Independent","Oklahoma","Oklahoma City","Lemons, Abe","0","0","0","70","67"," 70 - 79"," 60 - 69","Colorado State","0","Round of 32","Midwest","18","8","At Large","Mountain West","Independent","Colorado","Fort Collins","0","0","0","Midwest","Lubbock","Texas","Saturday","March 9","1960-1969","1","0"
"1963","Oregon State","Pacific Twelve","Independent","Oregon","Corvallis","Gill, Stats","0","0","0","83","65"," 80 - 89"," 60 - 69","Arizona State","0","Elite Eight","West","19","7","At Large","Pacific Twelve","Western Athletic","Arizona","Tempe","4","0","0","West","Provo","Utah","Saturday","March 16","1960-1969","1","0"
"1963","Oregon State","Pacific Twelve","Independent","Oregon","Corvallis","Gill, Stats","0","0","0","65","61"," 60 - 69"," 60 - 69","San Francisco","0","Sweet Sixteen","West","19","7","At Large","West Coast","West Coast","California","San Francisco","0","0","0","West","Provo","Utah","Friday","March 15","1960-1969","1","0"
"1963","Oregon State","Pacific Twelve","Independent","Oregon","Corvallis","Gill, Stats","0","0","0","70","66"," 70 - 79"," 60 - 69","Seattle","0","Round of 32","West","19","7","At Large","Western Athletic","Independent","Washington","Seattle","0","0","0","West","Eugene","Oregon","Monday","March 11","1960-1969","1","0"
"1963","San Francisco","West Coast","West Coast","California","San Francisco","Peletta, Peter","0","0","0","76","75"," 70 - 79"," 70 - 79","UCLA","0","Regional Third Place","West","17","8","Automatic","Pacific Twelve","Pacific Twelve","California","Los Angeles","0","0","0","West","Provo","Utah","Saturday","March 16","1960-1969","1","0"
"1963","St. Joseph's, Pennsylvania","Atlantic Ten","East Coast","Pennsylvania","Philadelphia","Ramsey, Jack","0","0","0","82","81"," 80 - 89"," 80 - 89","Princeton","0","Round of 32","East","21","4","Automatic","Ivy League","Ivy League","New Jersey","Princeton","0","0","0","East","Philadelphia","Pennsylvania","Monday","March 11","1960-1969","1","0"
"1963","St. Joseph's, Pennsylvania","Atlantic Ten","East Coast","Pennsylvania","Philadelphia","Ramsey, Jack","0","0","0","97","88"," 90 - 99"," 80 - 89","West Virginia","0","Sweet Sixteen","East","21","4","Automatic","Big Twelve","Southern","West Virginia","Morgantown","0","0","0","East","College Park","Maryland","Friday","March 15","1960-1969","1","0"
"1963","Texas","Big Twelve","Southwest","Texas","Austin","Bradley, Harold","0","0","0","90","83"," 90 - 99"," 80 - 89","Oklahoma City","0","Regional Third Place","Midwest","18","6","Automatic","NAIA","Independent","Oklahoma","Oklahoma City","0","0","0","Midwest","Lawrence","Kansas","Saturday","March 16","1960-1969","1","0"
"1963","Texas","Big Twelve","Southwest","Texas","Austin","Bradley, Harold","0","0","0","65","47"," 60 - 69","  0 - 49","Texas-El Paso","0","Round of 32","Midwest","18","6","Automatic","Conference USA","Independent","Texas","El Paso","0","0","0","Midwest","Lubbock","Texas","Saturday","March 9","1960-1969","1","0"
"1963","West Virginia","Big Twelve","Southern","West Virginia","Morgantown","King, George","0","0","0","77","71"," 70 - 79"," 70 - 79","Connecticut","0","Round of 32","East","21","7","Automatic","American Athletic","Yankee","Connecticut","Storrs","0","0","0","East","Philadelphia","Pennsylvania","Monday","March 11","1960-1969","1","0"
"1963","West Virginia","Big Twelve","Southern","West Virginia","Morgantown","King, George","0","0","0","83","73"," 80 - 89"," 70 - 79","New York","0","Regional Third Place","East","21","7","Automatic","Division III","New York Metropolitan","New York","New York City","9","0","0","East","College Park","Maryland","Saturday","March 16","1960-1969","1","0"
"1964","Connecticut","American Athletic","Yankee","Connecticut","Storrs","Shabel, Fred","0","0","0","52","50"," 50 - 59"," 50 - 59","Princeton","0","Sweet Sixteen","East","14","10","Automatic","Ivy League","Ivy League","New Jersey","Princeton","0","0","0","East","Raleigh","North Carolina","Friday","March 13","1960-1969","1","0"
"1964","Connecticut","American Athletic","Yankee","Connecticut","Storrs","Shabel, Fred","0","0","0","53","48"," 50 - 59","  0 - 49","Temple","0","Round of 32","East","14","10","Automatic","American Athletic","East Coast","Pennsylvania","Philadelphia","0","0","0","East","Philadelphia","Pennsylvania","Monday","March 9","1960-1969","1","0"
"1964","Creighton","Big East","Independent","Nebraska","Omaha","McManus, Red","0","0","0","89","78"," 80 - 89"," 70 - 79","Oklahoma City","0","Round of 32","Midwest","21","5","At Large","NAIA","Independent","Oklahoma","Oklahoma City","0","0","0","Midwest","Dallas","Texas","Monday","March 9","1960-1969","1","0"
"1964","Duke","Atlantic Coast","Atlantic Coast","North Carolina","Durham","Bubas, Vic","3","0","0","101","54","100 or more"," 50 - 59","Connecticut","0","Elite Eight","East","23","4","Automatic","American Athletic","Yankee","Connecticut","Storrs","0","0","0","East","Raleigh","North Carolina","Saturday","March 14","1960-1969","1","0"
"1964","Duke","Atlantic Coast","Atlantic Coast","North Carolina","Durham","Bubas, Vic","3","0","0","91","80"," 90 - 99"," 80 - 89","Michigan","0","National Semifinals","East","23","4","Automatic","Big Ten","Big Ten","Michigan","Ann Arbor","2","0","0","Mideast","Kansas City","Missouri","Friday","March 20","1960-1969","1","0"
"1964","Duke","Atlantic Coast","Atlantic Coast","North Carolina","Durham","Bubas, Vic","3","0","0","87","73"," 80 - 89"," 70 - 79","Villanova","0","Sweet Sixteen","East","23","4","Automatic","Big East","Independent","Pennsylvania","Philadelphia","7","0","0","East","Raleigh","North Carolina","Friday","March 13","1960-1969","1","0"
"1964","Kansas State","Big Twelve","Big Eight","Kansas","Manhattan","Winter, Tex","0","0","0","64","60"," 60 - 69"," 60 - 69","Texas-El Paso","0","Sweet Sixteen","Midwest","20","5","Automatic","Conference USA","Independent","Texas","El Paso","0","0","0","Midwest","Wichita","Kansas","Friday","March 13","1960-1969","1","0"
"1964","Kansas State","Big Twelve","Big Eight","Kansas","Manhattan","Winter, Tex","0","0","0","94","86"," 90 - 99"," 80 - 89","Wichita State","0","Elite Eight","Midwest","20","5","Automatic","American Athletic","Missouri Valley","Kansas","Wichita","5","0","0","Midwest","Wichita","Kansas","Saturday","March 14","1960-1969","1","0"
"1964","Loyola, Illinois","Missouri Valley","Independent","Illinois","Chicago","Ireland, George","8","0","0","100","91","100 or more"," 90 - 99","Kentucky","0","Regional Third Place","Mideast","20","5","At Large","Southeastern","Southeastern","Kentucky","Lexington","4","0","0","Mideast","Minneapolis","Minnesota","Saturday","March 14","1960-1969","1","0"
